Ticker,Field,Value,endDate,Scrape Date
JNJ,operatingIncome,6844000000,2022-01-02,23/03/2022
JNJ,netIncomeFromContinuingOps,6197000000,2022-01-02,23/03/2022
JNJ,netBorrowings,-1452000000,2022-01-02,23/03/2022
JNJ,changeInCash,-1314000000,2022-01-02,23/03/2022
JNJ,retainedEarnings,116508000000,2022-01-02,23/03/2022
BRK-B,operatingIncome,15327000000,2021-12-31,23/03/2022
BRK-B,netIncomeFromContinuingOps,11840000000,2021-12-31,23/03/2022
BRK-B,netBorrowings,-1637000000,2021-12-31,23/03/2022
BRK-B,changeInCash,12092000000,2021-12-31,23/03/2022
BRK-B,retainedEarnings,456337000000,2021-12-31,23/03/2022
JPM,operatingIncome,17725000000,2021-12-31,23/03/2022
JPM,netIncomeFromContinuingOps,14300000000,2021-12-31,23/03/2022
JPM,netBorrowings,105971000000,2021-12-31,23/03/2022
JPM,changeInCash,183463000000,2021-12-31,23/03/2022
JPM,retainedEarnings,248151000000,2021-12-31,23/03/2022
MMM,operatingIncome,2087000000,2021-12-31,23/03/2022
MMM,netIncomeFromContinuingOps,1627000000,2021-12-31,23/03/2022
MMM,netBorrowings,-444000000,2021-12-31,23/03/2022
MMM,changeInCash,2000000,2021-12-31,23/03/2022
MMM,retainedEarnings,44255000000,2021-12-31,23/03/2022
ABBV,operatingIncome,4346000000,2021-12-31,23/03/2022
ABBV,netIncomeFromContinuingOps,3555000000,2021-12-31,23/03/2022
ABBV,netBorrowings,-3461000000,2021-12-31,23/03/2022
ABBV,changeInCash,1306000000,2021-12-31,23/03/2022
ABBV,retainedEarnings,2292000000,2021-12-31,23/03/2022
DIS,operatingIncome,1410000000,2022-01-01,23/03/2022
DIS,netIncomeFromContinuingOps,1122000000,2022-01-01,23/03/2022
DIS,netBorrowings,-1549000000,2022-01-01,23/03/2022
DIS,changeInCash,-1180000000,2022-01-01,23/03/2022
DIS,retainedEarnings,39365000000,2022-01-01,23/03/2022
T,operatingIncome,11746000000,2021-12-31,23/03/2022
T,netIncomeFromContinuingOps,7942000000,2021-12-31,23/03/2022
T,netBorrowings,22677000000,2021-12-31,23/03/2022
T,changeInCash,1558000000,2021-12-31,23/03/2022
T,retainedEarnings,41154000000,2021-12-31,23/03/2022
PG,operatingIncome,3785000000,2021-12-31,23/03/2022
PG,netIncomeFromContinuingOps,3249000000,2021-12-31,23/03/2022
PG,netBorrowings,-1144000000,2021-12-31,23/03/2022
PG,changeInCash,-1934000000,2021-12-31,23/03/2022
PG,retainedEarnings,105674000000,2021-12-31,23/03/2022
LOW,operatingIncome,3245000000,2022-01-28,23/03/2022
LOW,netIncomeFromContinuingOps,2321000000,2022-01-28,23/03/2022
LOW,netBorrowings,1445000000,2022-01-28,23/03/2022
LOW,changeInCash,2002000000,2022-01-28,23/03/2022
LOW,retainedEarnings,98000000,2022-01-28,23/03/2022
CI,operatingIncome,1937000000,2021-12-31,23/03/2022
CI,netIncomeFromContinuingOps,1171000000,2021-12-31,23/03/2022
CI,netBorrowings,-1093000000,2021-12-31,23/03/2022
CI,changeInCash,-3701000000,2021-12-31,23/03/2022
CI,retainedEarnings,29389000000,2021-12-31,23/03/2022
